order_code,product_code,type,material,composition,width,length,height,not_before,not_after,quantity
R0118,K023,lenti,PMMA,8%,1220,1381,2.5,2019-07-11,2019-08-22,39000
R0119,K037,lenti,PMMA,8%,1106,1253,2.5,2019-07-14,2019-08-25,9000
R0120,K023,lenti,PMMA,8%,1220,1381,2.5,2019-07-16,2019-08-27,8000
R0121,N032,lenti,PMMA,0%,1663,951,2.3,2019-07-26,2019-09-06,12000
R0122,N017,lenti,PMMA,8%,1445,1250,2.0,2019-07-27,2019-09-07,3000
R0123,N002,lenti,PMMA,8%,1485,1168,2.0,2019-07-29,2019-09-09,8000
R0124,N032,lenti,PMMA,0%,1663,951,2.3,2019-08-05,2019-09-16,12000
R0125,N010,lenti,PMMA,8%,1580,1250,2.0,2019-08-06,2019-09-17,3000
R0126,N017,lenti,PMMA,8%,1445,1250,2.0,2019-08-07,2019-09-18,5000
R0127,K008,lenti,PMMA,8%,1665,948,3.0,2019-09-16,2019-10-28,40000
R0128,N047,lenti,PMMA,0%,1915,1085,3.0,2019-10-12,2019-11-23,6000
R0129,K008,lenti,PMMA,8%,1665,948,3.0,2019-10-15,2019-11-26,11000
R0130,N017,lenti,PMMA,8%,1445,1250,2.0,2019-10-18,2019-11-29,2000
R0131,N045,plate,PMMA,8%,1490,1735,2.0,2019-10-27,2019-12-08,6000
R0132,N011,plate,PMMA,8%,1465,1635,2.0,2019-10-27,2019-12-08,2000
R0133,N013,plate,PMMA,8%,1262,1610,2.0,2019-11-04,2019-12-16,11000
R0134,K023,lenti,PMMA,8%,1220,1381,2.5,2019-11-13,2019-12-25,15000
R0135,K037,lenti,PMMA,8%,1106,1253,2.5,2019-11-15,2019-12-27,6000
R0136,K021,lenti,PMMA,8%,1438,812,2.5,2019-11-19,2019-12-31,21000
R0137,K023,lenti,PMMA,8%,1220,1381,2.5,2019-11-19,2019-12-31,9000
R0138,K021,lenti,PMMA,8%,1438,812,2.5,2019-11-19,2019-12-31,5000
R0139,K023,lenti,PMMA,8%,1220,1381,2.5,2019-11-19,2019-12-31,11000
R0140,N032,lenti,PMMA,0%,1663,951,2.3,2019-07-01,2019-08-12,10000
R0141,N034,lenti,PMMA,8%,1260,1630,2.0,2019-07-01,2019-08-12,3000
R0142,N032,lenti,PMMA,0%,1663,951,2.3,2019-07-01,2019-08-12,17000
R0143,N047,lenti,PMMA,0%,1915,1085,3.0,2019-07-01,2019-08-12,5000
R0144,K008,lenti,PMMA,8%,1665,948,3.0,2019-07-04,2019-08-15,46000
R0145,N032,lenti,PMMA,0%,1663,951,2.3,2019-07-16,2019-08-27,17000
R0146,K023,lenti,PMMA,8%,1220,1381,2.5,2019-08-02,2019-09-13,18000
R0147,K037,lenti,PMMA,8%,1106,1253,2.5,2019-09-10,2019-10-22,72000
R0148,N043,lenti,PMMA,8%,1090,1260,2.0,2019-09-10,2019-10-22,2000
R0149,K022,lenti,PMMA,8%,953,1079,2.5,2019-10-02,2019-11-13,2000
R0150,K023,lenti,PMMA,8%,1220,1381,2.5,2019-07-01,2019-08-12,21000
R0151,K022,lenti,PMMA,8%,953,1079,2.5,2019-07-01,2019-08-12,9000
R0152,K023,lenti,PMMA,8%,1220,1381,2.5,2019-07-18,2019-08-29,92000
R0153,K037,lenti,PMMA,8%,1106,1253,2.5,2019-07-24,2019-09-04,18000
R0154,K023,lenti,PMMA,8%,1220,1381,2.5,2019-08-07,2019-09-18,42000
R0155,N006,plate,PMMA,8%,1486,1168,2.0,2019-08-18,2019-09-29,27000
R0156,N014,plate,PMMA,8%,1183,1039,2.0,2019-08-19,2019-09-30,2000
R0157,N004,plate,PMMA,8%,1585,1096,2.0,2019-08-22,2019-10-03,9000
R0158,N005,plate,PMMA,8%,1110,970,3.0,2019-08-23,2019-10-04,3000
R0159,N027,plate,PMMA,8%,1520,1292,2.0,2019-08-24,2019-10-05,3000
R0160,N019,lenti,PMMA,8%,1090,1260,2.05,2019-08-30,2019-10-11,3000
R0161,N007,lenti,PMMA,8%,1095,1260,2.0,2019-09-01,2019-10-13,6000
R0162,N042,lenti,PMMA,8%,1240,1450,2.0,2019-09-05,2019-10-17,12000
R0163,N009,lenti,PMMA,8%,1045,1370,2.0,2019-09-06,2019-10-18,3000
R0164,N028,lenti,PMMA,8%,1080,1180,2.0,2019-09-07,2019-10-19,5000
R0165,N048,lenti,PMMA,8%,1111,1254,2.5,2019-09-17,2019-10-29,2000
R0166,N043,lenti,PMMA,8%,1090,1260,2.0,2019-09-18,2019-10-30,1000
R0167,N048,lenti,PMMA,8%,1111,1254,2.5,2019-09-19,2019-10-31,4000
R0168,N019,lenti,PMMA,8%,1090,1260,2.05,2019-09-22,2019-11-03,3000
R0169,N043,lenti,PMMA,8%,1090,1260,2.0,2019-09-25,2019-11-06,9000
R0170,N014,plate,PMMA,8%,1183,1039,2.0,2019-09-30,2019-11-11,5000
R0171,N004,plate,PMMA,8%,1585,1096,2.0,2019-10-06,2019-11-17,17000
R0172,N027,plate,PMMA,8%,1520,1292,2.0,2019-10-09,2019-11-20,10000
R0173,N006,plate,PMMA,8%,1486,1168,2.0,2019-10-18,2019-11-29,14000
R0174,N029,plate,PMMA,8%,1210,1210,3.0,2019-10-20,2019-12-01,6000
R0175,N025,plate,PMMA,8%,1275,1610,3.0,2019-10-21,2019-12-02,2000
R0176,N012,plate,PMMA,8%,1160,1160,4.0,2019-10-23,2019-12-04,6000
R0177,N036,lenti,PMMA,8%,1260,1450,3.0,2019-10-31,2019-12-12,3000
R0178,N019,lenti,PMMA,8%,1090,1260,2.05,2019-11-01,2019-12-13,3000
R0179,N042,lenti,PMMA,8%,1240,1450,2.0,2019-11-04,2019-12-16,9000
R0180,N043,lenti,PMMA,8%,1090,1260,2.0,2019-11-06,2019-12-18,6000
R0181,N031,lenti,PMMA,8%,965,1115,2.0,2019-11-08,2019-12-20,6000
R0182,N038,lenti,PMMA,8%,1100,1260,2.0,2019-11-09,2019-12-21,3000
R0183,N006,plate,PMMA,8%,1486,1168,2.0,2019-11-13,2019-12-25,2000
R0184,N004,plate,PMMA,8%,1585,1096,2.0,2019-11-19,2019-12-31,20000
R0185,N003,plate,PMMA,0%,1090,1400,2.0,2019-11-19,2019-12-31,7000
R0186,N046,plate,PMMA,8%,1300,1200,2.0,2019-11-19,2019-12-31,2000
R0187,N005,plate,PMMA,8%,1110,970,3.0,2019-11-19,2019-12-31,1000
R0188,N025,plate,PMMA,8%,1275,1610,3.0,2019-11-19,2019-12-31,5000
R0189,N005,plate,PMMA,8%,1110,970,3.0,2019-11-19,2019-12-31,8000
